Pixel,Intensity
0.000000000000000000e+00,4.869172840013212371e-03
1.000000000000000000e+00,4.749293806666456640e-03
2.000000000000000000e+00,4.882517582279989263e-03
3.000000000000000000e+00,5.617173270096782224e-03
4.000000000000000000e+00,5.562393413544240196e-03
5.000000000000000000e+00,5.870429928205708400e-03
6.000000000000000000e+00,6.194943208648540783e-03
7.000000000000000000e+00,6.431972730566822526e-03
8.000000000000000000e+00,7.464414009876764282e-03
9.000000000000000000e+00,7.114780324628909927e-03
1.000000000000000000e+01,8.447001128717091661e-03
1.100000000000000000e+01,9.236620765535339186e-03
1.200000000000000000e+01,9.026304955813911277e-03
1.300000000000000000e+01,9.223224064511509335e-03
1.400000000000000000e+01,1.070908451037476394e-02
1.500000000000000000e+01,1.092905138917764883e-02
1.600000000000000000e+01,1.218952870875019551e-02
1.700000000000000000e+01,1.362158537897434352e-02
1.800000000000000000e+01,1.361922382258553416e-02
1.900000000000000000e+01,1.582476007914261629e-02
2.000000000000000000e+01,1.872016840907032853e-02
2.100000000000000000e+01,1.949334400740379905e-02
2.200000000000000000e+01,2.238305032691949997e-02
2.300000000000000000e+01,2.590441940318571890e-02
2.400000000000000000e+01,3.392527822247533992e-02
2.500000000000000000e+01,4.482499671130140556e-02
2.600000000000000000e+01,4.837005973075175075e-02
2.700000000000000000e+01,9.318472390879083134e-02
2.800000000000000000e+01,2.357441298004286701e+00
2.900000000000000000e+01,2.804414505254497314e+00
3.000000000000000000e+01,3.187839950199370165e+00
3.100000000000000000e+01,2.954926527890134658e+00
3.200000000000000000e+01,6.305348936078446265e+00
3.300000000000000000e+01,6.214580636715024475e+00
3.400000000000000000e+01,1.140803481292286392e+01
3.500000000000000000e+01,1.725067269939204095e+01
3.600000000000000000e+01,1.339193629320340051e+01
3.700000000000000000e+01,1.267819597484340299e+01
3.800000000000000000e+01,2.002175188955600404e+01
3.900000000000000000e+01,1.020242293032556091e+01
4.000000000000000000e+01,2.325779735870059994e+01
4.100000000000000000e+01,3.304397792280815338e+01
4.200000000000000000e+01,3.933302695063373022e+01
4.300000000000000000e+01,5.333747195252134787e+01
4.400000000000000000e+01,9.230497946260925346e+01
4.500000000000000000e+01,5.089089562482317319e+01
4.600000000000000000e+01,3.281266158589631488e+01
4.700000000000000000e+01,6.351873361966951137e+01
4.800000000000000000e+01,3.876367188555256149e+01
4.900000000000000000e+01,3.816307474061989069e+01
5.000000000000000000e+01,3.969896785590336208e+00
5.100000000000000000e+01,3.427043734948915787e-01
5.200000000000000000e+01,2.030866991168705782e-01
5.300000000000000000e+01,1.303330399890340330e-01
5.400000000000000000e+01,1.004833069183394129e-01
5.500000000000000000e+01,8.256955141647885632e-02
5.600000000000000000e+01,6.789642673361404035e-02
5.700000000000000000e+01,5.627024731330634855e-02
5.800000000000000000e+01,4.834940765143538877e-02
5.900000000000000000e+01,3.924481661887404410e-02
6.000000000000000000e+01,3.451243153592024882e-02
6.100000000000000000e+01,3.305339509626624428e-02
6.200000000000000000e+01,3.094174532113775147e-02
6.300000000000000000e+01,2.643427619499336828e-02
6.400000000000000000e+01,2.692026596545201225e-02
6.500000000000000000e+01,2.561334399220375341e-02
6.600000000000000000e+01,2.376825682848562882e-02
6.700000000000000000e+01,2.424293946131913721e-02
6.800000000000000000e+01,2.377752949041493299e-02
6.900000000000000000e+01,2.495531036115120407e-02
7.000000000000000000e+01,2.893721885461596893e-02
7.100000000000000000e+01,3.809266879407112449e-02
7.200000000000000000e+01,3.807856160137799290e-02
7.300000000000000000e+01,4.757570461619684554e-01
7.400000000000000000e+01,3.375915916171768338e-01
7.500000000000000000e+01,1.276441597974204312e+00
7.600000000000000000e+01,4.579956762181098817e+00
7.700000000000000000e+01,8.267999945329195910e+00
7.800000000000000000e+01,1.230041505642796684e+00
7.900000000000000000e+01,4.376204042764396007e+00
8.000000000000000000e+01,3.993002327496567361e+00
8.100000000000000000e+01,5.770562928756686638e+00
8.200000000000000000e+01,3.406601137050646599e+00
8.300000000000000000e+01,5.685365007370373647e+00
8.400000000000000000e+01,1.530006032226449619e+01
8.500000000000000000e+01,9.562284428749009635e+00
8.600000000000000000e+01,1.200002393164713688e+01
8.700000000000000000e+01,9.351108499370379690e+00
8.800000000000000000e+01,1.997219045983935359e+01
8.900000000000000000e+01,2.211122716107130870e+01
9.000000000000000000e+01,3.070379443283761844e+01
9.100000000000000000e+01,6.332903098206170966e+01
9.200000000000000000e+01,5.005676292730562693e+01
9.300000000000000000e+01,2.035810357104456614e+01
9.400000000000000000e+01,4.575889759019455827e-01
9.500000000000000000e+01,2.064261866083409169e-01
9.600000000000000000e+01,1.263504689863185759e-01
9.700000000000000000e+01,8.489523184748665185e-02
9.800000000000000000e+01,5.197619133086928134e-02
9.900000000000000000e+01,4.512414655184550372e-02
1.000000000000000000e+02,3.809840296036238333e-02
1.010000000000000000e+02,2.831889477561506593e-02
1.020000000000000000e+02,2.507045513979963558e-02
1.030000000000000000e+02,2.075321519958181829e-02
1.040000000000000000e+02,1.810542152258572818e-02
1.050000000000000000e+02,1.767053181333747350e-02
1.060000000000000000e+02,1.521256752183780363e-02
1.070000000000000000e+02,1.449951283619084312e-02
1.080000000000000000e+02,1.230424718030931862e-02
1.090000000000000000e+02,1.050040035834148150e-02
1.100000000000000000e+02,9.963991891739416851e-03
1.110000000000000000e+02,8.839052121285030650e-03
1.120000000000000000e+02,8.245092685808219982e-03
1.130000000000000000e+02,8.237858647876220367e-03
1.140000000000000000e+02,7.287968572305307015e-03
1.150000000000000000e+02,7.245538533675140690e-03
1.160000000000000000e+02,7.041300232845745626e-03
1.170000000000000000e+02,6.226812831119337387e-03
1.180000000000000000e+02,5.699378316880082673e-03
1.190000000000000000e+02,5.487070719555005131e-03
1.200000000000000000e+02,5.513966743559712419e-03
1.210000000000000000e+02,4.709778836831100476e-03
1.220000000000000000e+02,4.610423789141843663e-03
1.230000000000000000e+02,4.313021326650750935e-03
1.240000000000000000e+02,4.274109744333407304e-03
1.250000000000000000e+02,4.255407227016469104e-03
1.260000000000000000e+02,4.246447631611165695e-03
1.270000000000000000e+02,3.768269900545995286e-03
1.280000000000000000e+02,3.522913570466112195e-03
1.290000000000000000e+02,3.584524401074420594e-03
1.300000000000000000e+02,3.476630304330473667e-03
1.310000000000000000e+02,3.215826747986167983e-03
1.320000000000000000e+02,3.292655048669970632e-03
1.330000000000000000e+02,3.106239683431829580e-03
1.340000000000000000e+02,3.022545876887185005e-03
1.350000000000000000e+02,3.080048477963541302e-03
1.360000000000000000e+02,2.833819253256872946e-03
1.370000000000000000e+02,2.831443154063443320e-03
1.380000000000000000e+02,2.554961375445892382e-03
1.390000000000000000e+02,2.651218728203107947e-03
1.400000000000000000e+02,2.455018929637618405e-03
1.410000000000000000e+02,2.583072209911403423e-03
1.420000000000000000e+02,2.574490078834445941e-03
1.430000000000000000e+02,2.442791774976652008e-03
1.440000000000000000e+02,2.201876889959067125e-03
1.450000000000000000e+02,2.455300354387743213e-03
1.460000000000000000e+02,2.373146630526327787e-03
1.470000000000000000e+02,2.343439237604494785e-03
1.480000000000000000e+02,2.342517079381310242e-03
1.490000000000000000e+02,2.269359896229950369e-03
1.500000000000000000e+02,2.294100747502688525e-03
1.510000000000000000e+02,2.202437238515570373e-03
1.520000000000000000e+02,2.299104418663234020e-03
1.530000000000000000e+02,2.074869369369200609e-03
1.540000000000000000e+02,2.137895080334292503e-03
1.550000000000000000e+02,2.187241383448741867e-03
1.560000000000000000e+02,2.033018264435188308e-03
1.570000000000000000e+02,2.131350866516256923e-03
1.580000000000000000e+02,2.175279641280245500e-03
1.590000000000000000e+02,2.121014998252366245e-03
1.600000000000000000e+02,2.106540516958540273e-03
1.610000000000000000e+02,2.132653462543439293e-03
1.620000000000000000e+02,2.065379627782492657e-03
1.630000000000000000e+02,2.114542724085786626e-03
1.640000000000000000e+02,2.189730588700243043e-03
1.650000000000000000e+02,2.295300101107863085e-03
1.660000000000000000e+02,2.208684794266197772e-03
1.670000000000000000e+02,2.090882471946830211e-03
1.680000000000000000e+02,2.237614434335087610e-03
1.690000000000000000e+02,2.287364266548732802e-03
1.700000000000000000e+02,2.298158771391332553e-03
1.710000000000000000e+02,2.232856971662976284e-03
1.720000000000000000e+02,2.268298806815724229e-03
1.730000000000000000e+02,2.446136361958946986e-03
1.740000000000000000e+02,2.273638790976584279e-03
1.750000000000000000e+02,2.350346069991035222e-03
1.760000000000000000e+02,2.415028604981001546e-03
1.770000000000000000e+02,2.555384636810042152e-03
1.780000000000000000e+02,2.718948054064875084e-03
1.790000000000000000e+02,2.855238913972863498e-03
1.800000000000000000e+02,2.681520463987221645e-03
1.810000000000000000e+02,3.035926442999639131e-03
1.820000000000000000e+02,2.996925454844828578e-03
1.830000000000000000e+02,3.219684232980980429e-03
1.840000000000000000e+02,3.066528410466887698e-03
1.850000000000000000e+02,3.439741314761749717e-03
1.860000000000000000e+02,3.406040552080960310e-03
1.870000000000000000e+02,3.924471997901492898e-03
1.880000000000000000e+02,3.789450778346429606e-03
1.890000000000000000e+02,4.084100630259588673e-03
1.900000000000000000e+02,3.959067003335525574e-03
1.910000000000000000e+02,4.689643105302630614e-03
1.920000000000000000e+02,5.176665836541531791e-03
1.930000000000000000e+02,5.472014060964518027e-03
1.940000000000000000e+02,5.975380402763287753e-03
1.950000000000000000e+02,6.202283602758813623e-03
1.960000000000000000e+02,7.438618329057123703e-03
1.970000000000000000e+02,7.705096892201671738e-03
1.980000000000000000e+02,8.239352852906922306e-03
1.990000000000000000e+02,8.971467111846580939e-03
2.000000000000000000e+02,1.108410308048548946e-02
2.010000000000000000e+02,1.105959220770446824e-02
2.020000000000000000e+02,1.492101955791592591e-02
2.030000000000000000e+02,1.567448505031952821e-02
2.040000000000000000e+02,2.001016579662217437e-02
2.050000000000000000e+02,2.405198216006539796e-02
2.060000000000000000e+02,3.535300269189018546e-02
2.070000000000000000e+02,5.082818003249729433e-01
2.080000000000000000e+02,2.955771220588415682e-01
2.090000000000000000e+02,2.560388704134783477e+00
2.100000000000000000e+02,1.869853167861753152e+00
2.110000000000000000e+02,6.248110405443277671e+00
2.120000000000000000e+02,8.601641114340126126e-01
2.130000000000000000e+02,6.830537916250318808e+00
2.140000000000000000e+02,9.803359046476696648e+00
2.150000000000000000e+02,6.920336488873036096e+00
2.160000000000000000e+02,1.365450906362688599e+01
2.170000000000000000e+02,9.907400687665273153e+00
2.180000000000000000e+02,2.229171756980756314e+01
2.190000000000000000e+02,3.217086759534538487e+01
2.200000000000000000e+02,3.633450008066379411e+01
2.210000000000000000e+02,5.178591370460483745e+01
2.220000000000000000e+02,2.666269053953021029e+01
2.230000000000000000e+02,7.970829878268466118e-01
2.240000000000000000e+02,2.237698091924696098e-01
2.250000000000000000e+02,1.261022746649451409e-01
2.260000000000000000e+02,8.785172380989381136e-02
2.270000000000000000e+02,6.545171293389438760e-02
2.280000000000000000e+02,4.063477309864814424e-02
2.290000000000000000e+02,3.534952608265875401e-02
2.300000000000000000e+02,2.502104162642318497e-02
2.310000000000000000e+02,2.166737414054316704e-02
2.320000000000000000e+02,2.036401974572872933e-02
2.330000000000000000e+02,1.587495413298323221e-02
2.340000000000000000e+02,1.170363612694180246e-02
2.350000000000000000e+02,1.108321205471322207e-02
2.360000000000000000e+02,1.045245499777835117e-02
2.370000000000000000e+02,9.295629364891300900e-03
2.380000000000000000e+02,8.048457439569048008e-03
2.390000000000000000e+02,7.808566621855634986e-03
2.400000000000000000e+02,6.513588834875320630e-03
2.410000000000000000e+02,6.294937725895466581e-03
2.420000000000000000e+02,5.568316846560844233e-03
2.430000000000000000e+02,4.970678005536702249e-03
2.440000000000000000e+02,4.713595237128408166e-03
2.450000000000000000e+02,4.458412406590285017e-03
2.460000000000000000e+02,3.957296202597861134e-03
2.470000000000000000e+02,4.084797320639077176e-03
2.480000000000000000e+02,3.697687810654414105e-03
2.490000000000000000e+02,3.543569797391450931e-03
2.500000000000000000e+02,3.127765884581757468e-03
2.510000000000000000e+02,2.762362886408772315e-03
2.520000000000000000e+02,2.360560287376431508e-03
2.530000000000000000e+02,2.644464830480005094e-03
2.540000000000000000e+02,2.529396010412730302e-03
2.550000000000000000e+02,2.258733533821985062e-03
2.560000000000000000e+02,2.296233882884184552e-03
2.570000000000000000e+02,2.107594962216542082e-03
2.580000000000000000e+02,1.877647368939982381e-03
2.590000000000000000e+02,1.810899079076495931e-03
2.600000000000000000e+02,1.956534569967186520e-03
2.610000000000000000e+02,1.869838002101856201e-03
2.620000000000000000e+02,1.724728383012214634e-03
2.630000000000000000e+02,1.596971567016175746e-03
